Subject,Courses in this subject area - needs reviewing
Aeronautical and astronautical engineering,BEng Aeronautics and Astronautics
,MEng Aeronautics and Astronautics
,MEng Aeronautics and Astronautics / Aerodynamics
,MEng Aeronautics and Astronautics / Airvehicle Systems Design 
,MEng Aeronautics and Astronautics / Computational Engineering and Design
,MEng Aeronautics and Astronautics / Engineering Management
,MEng Aeronautics and Astronautics / Materials and Structures
,MEng Aeronautics and Astronautics / Semester Abroad
,MEng Aeronautics and Astronautics / Spacecraft Engineering
,MEng Aerospace Electronic Engineering
,MSc Aerodynamics and Computation
,MSc Race Car Aerodynamics
,MSc Space Systems Engineering
,MEng Mechanical Engineering / Aerospace Engineering
Ageing and gerontology,MSc Global Ageing and Policy (Distance Learning)
,PGCert Global Ageing and Policy (Distance Learning)
,PGDip Global Ageing and Policy (Distance Learning)
,MSc Gerontology
,MSc Gerontology (Distance Learning)
,MSc Gerontology: Research
,PGCert Gerontology
,PGCert Gerontology (Distance Learning)
,PGDip Gerontology (Distance Learning)
Archaeology,BA Archaeology
,BA Ancient History and Archaeology
,BA Ancient History and Archaeology with Year Abroad
,BA Archaeology and Anthropology
,BA Archaeology and Anthropology with Year Abroad
,BA Archaeology and History
,BA Archaeology and History with Year Abroad
,BA Archaeology with Year Abroad
,BSc Archaeology
,BSc Archaeology with Year Abroad
,MA Maritime Archaeology
,MArc Archaeology Integrated Masters
,MSc Archaeology 
,MSc Archaeology Bioarchaeology 
,MSc Archaeology Palaeoanthropology
,MSc Maritime Archaeology
,MSci Archaeology
,MSc Higher Archaeological Practice 
,MA Cultural Heritage Studies
,MSc Business and Heritage Management
Art* design and fashion,BA Fine Art
,BA Games Design and Art
,BA Graphic Arts
,MA Fine Art
,PGCE Art and Design
,BA Fashion Design
,BA Textile Design
,MA Fashion Design
,MA Textile Design
,BA Fashion Marketing with Management
,MA Fashion Management
,MA Fashion Marketing and Branding
,MA Contemporary Curation
,MA Communication Design
,MA Global Advertising and Branding
,MA Global Media Management
,MA Luxury Brand Management
Biological sciences,MRes Advanced Biological Sciences
,MSci Biology
,MSci Biology and Marine Biology
,BSc Biology
,BSc Biology and Marine Biology
,MRes Big Data Biology
, MRes Evolution: From the Galapagos to the 21st Century
,MRes Wildlife Conservation
,MSc Biodiversity and Conservation
,MSc Neuroscience
,MSci Zoology
,MSci Neuroscience
,BSc Pharmacology
,BSc Zoology
,BSc Neuroscience
, MSci Pharmacology
, BSc Biomedical
, MSci Biomedical
,
Business* accounting* finance and marketing,BA Music and Business Management
,BA Music and Business Management with Year Abroad
,BSc Business Analytics
,BSc Business Analytics with Placement
,BSc Business Entrepreneurship
,BSc Business Entrepreneurship with Placement
,BSc Business Management
,BSc Business Management and French
,BSc Business Management and German
,BSc Business Management and Spanish
,BSc Business Management with Placement
,MBA Master of Business Administration
,MSc Business Analytics and Finance
,MSc Business Analytics and Management Science
,MSc Business and Heritage Management
,MSc Business Strategy and Innovation Management 
,MSc Digital Business
,BSc Accounting and Finance
,BSc Accounting and Finance with Placement
,MSc Accounting and Finance
,MSc Accounting and Management
,BSc Marketing
,BSc Marketing with Placement
,MSc Digital Marketing
,MSc Marketing Analytics
,MSc Marketing Management
,MSc Human Resource Management
,MSc International Entrepreneurship and Management
,MSc International Management
,MSc Project Management
,BSc Economics and Accounting
,BSc Economics and Business Management
,BSc Mathematics with Finance
,MSc Finance and Econometrics
,MSc Finance 
,MSc International Banking and Financial Studies
,MSc International Financial Markets
,MSc Logistics and Supply Chain Analytics
,MSc Risk and Finance
,MSc Risk Management
,MSc Operational Research
,MSc Operational Research and Finance
,MSc Operational Research and Statistics
,MSc Finance and Economics
,BSc Economics and Finance
,BSc Mathematics with Actuarial Science
,MSc Digital Strategy and Information Systems
Chemistry,BSc Biochemistry
,BSc Chemistry
,MChem Chemistry
,MChem Chemistry (Digital Methods and Computational Modelling)
,MChem Chemistry with External Placement
,MChem Chemistry with Maths
,MChem Chemistry with Medicinal Sciences
,MChem Chemistry with Year Long Industry Experience
,MSc Chemistry 
,MSc Chemistry by Research
,MSc Electrochemistry and Battery Technologies 
,Msci Biochemistry
,MEng Chemical Engineering
,BEng Chemical Engineering
,MSc Advanced Chemical Engineering
Civil and maritime engineering,BEng Civil Engineering
,MEng Civil Engineering
,MEng Civil Engineering and Architecture
,MSc Civil Engineering
,MSc Civil Engineering with Integrated Qualifying Year
,MSc Maritime Engineering Science: Marine Engineering and Autonomy
,MSc Maritime Engineering Science: Advanced Computational Engineering
,MSc Maritime Engineering Science: Naval Architecture
,MSc Maritime Engineering Science: Yacht and High performance Cract
,MSc Maritime Engineering Science: Ocean Energy & Offshore Engineering
,MEng Ship Science
,BEng Ship Science
,MSc Energy and Sustainability with Electrical Power Engineering
,MSc Energy and Sustainability: Energy Environment and Buildings
,MSc Energy and Sustainability: Energy Resources and Climate Change
,MSc Sustainable Energy Technologies
,MEng Mechanical Engineering / Sustainable Energy Systems
,MSc Transportation Planning and Engineering: Behaviour
,MSc Transportation Planning and Engineering: Infrastructure
,MSc Transportation Planning and Engineering: Operations
,MEng Mechanical Engineering / Naval Engineering
Computer science and software,BSc Computer Science
,BSc Mathematics with Computer Science
,MEng Computer Science
,MEng Computer Science with Artificial Intelligence
,MEng Computer Science with Cyber Security
,MEng Electronic Engineering with Computer Systems
,MSc Computer Science
,BEng Software Engineering
,MEng Software Engineering
,MSc Software Engineering
,MSc Artificial Intelligence
,MSc Cyber Security
,MSc European Master's in Embedded Computing Systems
,MSc Internet of Things
,MSc Aerodynamics and Computation
,MSc Mobile Communications and Smart Networking
,MSc Data Science
,MEng Mechanical Engineering / Computational Engineering and Design
,MSc Systems Control and Signal Processing
Economics,BA Economics and Philosophy
,BA Philosophy Politics and Economics
,BA Philosophy Politics and Economics with Year Abroad
,BSc Economics
,BSc Economics and Accounting
,BSc Economics and Actuarial Science
,BSc Economics and Business Management
,BSc Economics and Finance
,BSc Economics with Data Science
,BSc Mathematics Operational Research  Statistics and Economics
,BSc Politics and Economics
,MEcon Economics
,MMORSE Mathematics  Operational Research Statistics and Economics
,MRes Economics
,MSc Economics
,MSc Finance and Economics
,BA Economics and Philosophy with Year Abroad
Education,BSc Education
,BSc Education and Psychology
,MSc Education
,MSc Education Management and Leadership
,MSc Education Online
,MSc Education Practice and Innovation
,PGCE Physical Education
,PGCE Primary
,PGCE School Direct
,PGCE Sciences
,PGCE Secondary
,PGCE Art and Design
,PGCE English
,PGCE Geography
,PGCE History
,PGCE Mathematics
,PGCE Modern Languages
,SKE Pre-ITT Subject Knowledge Enhancement Mathematics SKE Pre-ITT Subject Knowledge Enhancement Science 
Electrical and electronic engineering,BEng Aerospace Electronic Engineering
,BEng Biomedical Engineering (Electronics)
,BEng Electrical and Electronic Engineering
,BEng Electronic Engineering
,MEng Aerospace Electronic Engineering
,MEng Electrical and Electronic Engineering
,MEng Electronic Engineering
,MEng Electronic Engineering with Artificial Intelligence
,MEng Electronic Engineering with Computer Systems
,MEng Electronic Engineering with Mobile and Secure Systems
,MEng Electronic Engineering with Nanotechnology
,MEng Electronic Engineering with Photonics
,MEng Electronic Engineering with Wireless Communications
,MSc Electronic Engineering
,MSc Microelectronics Systems Design
,BEng Electrical Engineering
,MEng Electrical Engineering
,MSc Systems Control and Signal Processing
,MEng Biomedical Engineering (Electronics)
,MEng Mechanical Engineering / Biomedical Engineering
,MSc Biomedical Engineering
,MSc Mobile Communications and Smart Networking
English,BA Applied Linguistics and English Language
,BA English
,BA English and French
,BA English and German
,BA English and History
,BA English and History with Year Abroad
,BA English and Linguistics with Year Abroad
,BA English and Music
,BA English and Music with Year Abroad
,BA English and Spanish
,BA English with Creative Writing
,BA English with Year Abroad
,BA Film and English
,BA Film and English with Year Abroad
,BA Philosophy and English
,MA English Literary Studies
,MA English Literary Studies (Eighteenth Century)
,MA English Literary Studies (Nineteenth Century)
,MA English Literary Studies (Postcolonial and World Literatures)
,MA English Literary Studies (Twentieth Century and Contemporary)
,PGCE English
,BA English Language and Linguistics
,BA English Language and Linguistics with Year Abroad
